player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Jeremiah Burton,97928,DI,OHIO,2,5,0,,0,0,259,60.0,58.6,78.7,67.1,49.9,77.3,0,2,0,,0.0,0,0,0,0.0,0,1,0,0,0,105,105,7,87,0,11,0,0,58,47,0,3,2,0,3,0,0,0,
Justin Williams,97930,DI,WAKE,6,1,0,,0,0,339,60.0,66.4,77.7,60.6,67.1,74.1,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,78,78,2,73,0,3,0,0,39,39,0,2,2,0,0,0,0,0,
Adetomiwa Adebawore,97934,ED,NWESTERN,9,3,2,75.0,0,0,256,67.3,60.8,30.6,56.4,65.0,36.1,5,10,0,4,19.0,4,0,3,77.1,3,2,0,0,11,465,465,42,107,240,76,0,0,278,176,0,13,14,4,17,0,1,19,0.3
Devo Bridges,97935,ED,FRESNO ST,1,0,0,,0,0,169,,46.5,71.6,56.7,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,5,5,0,0,5,0,0,0,4,1,0,0,0,0,0,0,0,0,
Marcus Harris,97937,ED,KANSAS,8,8,0,,0,1,198,60.0,69.9,83.4,57.0,74.6,63.7,0,7,0,,11.8,4,0,0,0.0,0,0,0,0,1,367,367,0,71,10,286,0,0,160,206,0,17,22,0,7,0,0,0,
PJ Spencer,97938,ED,NWESTERN,2,0,0,,0,0,256,,55.6,73.6,57.0,56.9,71.5,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,14,14,0,2,12,0,0,0,5,9,0,1,1,0,0,0,0,0,
Cletus Mathurin,97946,DI,UMASS,4,3,0,,0,0,216,60.0,55.1,79.4,53.0,56.4,39.6,0,0,0,,16.7,1,0,0,0.0,0,0,0,0,0,137,137,2,135,0,0,0,0,65,72,0,2,2,0,0,0,0,0,
Allen Walker,97947,LB,LA TECH,7,2,0,83.3,0,0,208,53.2,39.2,79.1,53.5,29.4,51.7,0,1,0,13,23.1,3,0,0,93.8,5,0,147,0,78,153,0,0,0,0,0,0,153,6,69,6,4,8,6,1,0,39,40,7.8
Jacob Lacey,97948,DI,NOTRE DAME,11,0,1,,0,0,258,59.7,61.9,80.1,57.2,65.7,76.1,0,6,0,,14.3,1,0,0,0.0,0,0,0,0,1,149,149,4,144,0,1,0,0,89,59,0,5,6,0,6,0,0,0,
Wilson Frederic,97950,DI,UMASS,3,2,0,,0,0,216,,61.5,0.0,56.0,69.2,74.6,0,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,42,42,3,39,0,0,0,0,17,25,0,0,2,0,0,0,0,0,
